"Notes","Month","Month Code","Infant Birth Weight 12","Infant Birth Weight 12 Code","Mother's Pre-pregnancy BMI","Mother's Pre-pregnancy BMI Code","Month Prenatal Care Began","Month Prenatal Care Began Code",Deaths,Births,Death Rate
,"September","9","500 - 999 grams","02","Overweight 25.0-29.9","3","3rd month","03",13,79,164.56 (Unreliable)
,"September","9","500 - 999 grams","02","Obesity I 30.0-34.9","4","2nd month","02",12,80,150.00 (Unreliable)
,"September","9","500 - 999 grams","02","Obesity I 30.0-34.9","4","3rd month","03",18,78,230.77 (Unreliable)
,"September","9","500 - 999 grams","02","Obesity II 35.0-39.9","5","2nd month","02",10,54,185.19 (Unreliable)
,"September","9","500 - 999 grams","02","Extreme Obesity III > 39.9","6","2nd month","02",14,52,269.23 (Unreliable)
,"September","9","500 - 999 grams","02","Extreme Obesity III > 39.9","6","3rd month","03",10,32,312.50 (Unreliable)
,"September","9","1500 - 1999 grams","04","Normal 18.5-24.9","2","3rd month","03",19,523,36.33 (Unreliable)
,"September","9","1500 - 1999 grams","04","Overweight 25.0-29.9","3","2nd month","02",14,397,35.26 (Unreliable)
,"September","9","1500 - 1999 grams","04","Obesity I 30.0-34.9","4","2nd month","02",10,350,28.57 (Unreliable)
,"September","9","2000 - 2499 grams","05","Normal 18.5-24.9","2","2nd month","02",19,2154,8.82 (Unreliable)
,"September","9","2000 - 2499 grams","05","Normal 18.5-24.9","2","3rd month","03",10,1971,5.07 (Unreliable)
,"September","9","2000 - 2499 grams","05","Overweight 25.0-29.9","3","2nd month","02",11,1496,7.35 (Unreliable)
,"September","9","2000 - 2499 grams","05","Overweight 25.0-29.9","3","3rd month","03",11,1384,7.95 (Unreliable)
,"September","9","2000 - 2499 grams","05","Obesity I 30.0-34.9","4","3rd month","03",10,843,11.86 (Unreliable)
,"September","9","2500 - 2999 grams","06","Normal 18.5-24.9","2","2nd month","02",20,8677,2.30
,"September","9","2500 - 2999 grams","06","Normal 18.5-24.9","2","3rd month","03",19,7566,2.51 (Unreliable)
,"September","9","2500 - 2999 grams","06","Overweight 25.0-29.9","3","2nd month","02",21,5696,3.69
,"September","9","2500 - 2999 grams","06","Overweight 25.0-29.9","3","3rd month","03",16,5023,3.19 (Unreliable)
,"September","9","2500 - 2999 grams","06","Obesity I 30.0-34.9","4","2nd month","02",13,3396,3.83 (Unreliable)
,"September","9","3000 - 3499 grams","07","Normal 18.5-24.9","2","2nd month","02",24,17604,1.36
,"September","9","3000 - 3499 grams","07","Normal 18.5-24.9","2","3rd month","03",25,16036,1.56
,"September","9","3000 - 3499 grams","07","Overweight 25.0-29.9","3","2nd month","02",17,12281,1.38 (Unreliable)
,"September","9","3000 - 3499 grams","07","Overweight 25.0-29.9","3","3rd month","03",12,11077,1.08 (Unreliable)
,"September","9","3000 - 3499 grams","07","Obesity I 30.0-34.9","4","2nd month","02",14,7410,1.89 (Unreliable)
,"September","9","3000 - 3499 grams","07","Obesity I 30.0-34.9","4","3rd month","03",10,6614,1.51 (Unreliable)
,"September","9","3500 - 3999 grams","08","Normal 18.5-24.9","2","2nd month","02",12,10719,1.12 (Unreliable)
,"September","9","3500 - 3999 grams","08","Obesity I 30.0-34.9","4","2nd month","02",10,5550,1.80 (Unreliable)
,"September","9","3500 - 3999 grams","08","Obesity I 30.0-34.9","4","3rd month","03",11,4891,2.25 (Unreliable)
,"October","10","499 grams or less","01","Normal 18.5-24.9","2","No prenatal care","00",14,14,1000.00 (Unreliable)
,"October","10","499 grams or less","01","Normal 18.5-24.9","2","1st month","01",10,12,833.33 (Unreliable)
,"October","10","499 grams or less","01","Normal 18.5-24.9","2","2nd month","02",18,22,818.18 (Unreliable)
,"October","10","499 grams or less","01","Normal 18.5-24.9","2","3rd month","03",15,22,681.82 (Unreliable)
,"October","10","499 grams or less","01","Overweight 25.0-29.9","3","No prenatal care","00",10,13,769.23 (Unreliable)
,"October","10","499 grams or less","01","Overweight 25.0-29.9","3","2nd month","02",17,20,850.00 (Unreliable)
,"October","10","499 grams or less","01","Overweight 25.0-29.9","3","3rd month","03",19,24,791.67 (Unreliable)
,"October","10","499 grams or less","01","Obesity I 30.0-34.9","4","2nd month","02",20,24,833.33
,"October","10","499 grams or less","01","Obesity I 30.0-34.9","4","3rd month","03",21,27,777.78
,"October","10","499 grams or less","01","Obesity II 35.0-39.9","5","2nd month","02",11,11,1000.00 (Unreliable)
,"October","10","499 grams or less","01","Obesity II 35.0-39.9","5","3rd month","03",11,17,647.06 (Unreliable)
,"October","10","499 grams or less","01","Extreme Obesity III > 39.9","6","2nd month","02",10,15,666.67 (Unreliable)
,"October","10","499 grams or less","01","Extreme Obesity III > 39.9","6","3rd month","03",16,18,888.89 (Unreliable)
,"October","10","499 grams or less","01","Unknown or Not Stated","9","No prenatal care","00",13,13,1000.00 (Unreliable)
,"October","10","500 - 999 grams","02","Normal 18.5-24.9","2","No prenatal care","00",10,35,285.71 (Unreliable)
,"October","10","500 - 999 grams","02","Normal 18.5-24.9","2","1st month","01",12,42,285.71 (Unreliable)
,"October","10","500 - 999 grams","02","Normal 18.5-24.9","2","2nd month","02",23,125,184.00
,"October","10","500 - 999 grams","02","Normal 18.5-24.9","2","3rd month","03",23,109,211.01
,"October","10","500 - 999 grams","02","Overweight 25.0-29.9","3","No prenatal care","00",10,30,333.33 (Unreliable)
,"October","10","500 - 999 grams","02","Overweight 25.0-29.9","3","2nd month","02",28,117,239.32
,"October","10","500 - 999 grams","02","Overweight 25.0-29.9","3","3rd month","03",21,98,214.29
,"October","10","500 - 999 grams","02","Obesity I 30.0-34.9","4","2nd month","02",20,118,169.49
,"October","10","500 - 999 grams","02","Obesity I 30.0-34.9","4","3rd month","03",20,80,250.00
,"October","10","500 - 999 grams","02","Obesity II 35.0-39.9","5","3rd month","03",14,41,341.46 (Unreliable)
,"October","10","500 - 999 grams","02","Extreme Obesity III > 39.9","6","2nd month","02",13,66,196.97 (Unreliable)
,"October","10","500 - 999 grams","02","Unknown or Not Stated","9","No prenatal care","00",10,29,344.83 (Unreliable)
,"October","10","1000 - 1499 grams","03","Normal 18.5-24.9","2","2nd month","02",14,216,64.81 (Unreliable)
,"October","10","1000 - 1499 grams","03","Overweight 25.0-29.9","3","3rd month","03",11,179,61.45 (Unreliable)
,"October","10","1500 - 1999 grams","04","Normal 18.5-24.9","2","3rd month","03",16,518,30.89 (Unreliable)
,"October","10","2000 - 2499 grams","05","Normal 18.5-24.9","2","2nd month","02",13,2219,5.86 (Unreliable)
,"October","10","2000 - 2499 grams","05","Normal 18.5-24.9","2","3rd month","03",15,1938,7.74 (Unreliable)
,"October","10","2000 - 2499 grams","05","Overweight 25.0-29.9","3","2nd month","02",10,1506,6.64 (Unreliable)
,"October","10","2000 - 2499 grams","05","Overweight 25.0-29.9","3","3rd month","03",10,1304,7.67 (Unreliable)
,"October","10","2000 - 2499 grams","05","Obesity I 30.0-34.9","4","2nd month","02",12,916,13.10 (Unreliable)
,"October","10","2500 - 2999 grams","06","Normal 18.5-24.9","2","2nd month","02",23,8856,2.60
,"October","10","2500 - 2999 grams","06","Normal 18.5-24.9","2","3rd month","03",17,7878,2.16 (Unreliable)
,"October","10","2500 - 2999 grams","06","Normal 18.5-24.9","2","4th month","04",16,2142,7.47 (Unreliable)
,"October","10","2500 - 2999 grams","06","Overweight 25.0-29.9","3","2nd month","02",14,5688,2.46 (Unreliable)
,"October","10","2500 - 2999 grams","06","Overweight 25.0-29.9","3","3rd month","03",15,5039,2.98 (Unreliable)
,"October","10","2500 - 2999 grams","06","Obesity I 30.0-34.9","4","3rd month","03",14,3099,4.52 (Unreliable)
,"October","10","2500 - 2999 grams","06","Obesity II 35.0-39.9","5","2nd month","02",11,1878,5.86 (Unreliable)
,"October","10","3000 - 3499 grams","07","Normal 18.5-24.9","2","2nd month","02",24,17831,1.35
,"October","10","3000 - 3499 grams","07","Normal 18.5-24.9","2","3rd month","03",13,16116,0.81 (Unreliable)
,"October","10","3000 - 3499 grams","07","Overweight 25.0-29.9","3","2nd month","02",19,12267,1.55 (Unreliable)
,"October","10","3000 - 3499 grams","07","Overweight 25.0-29.9","3","3rd month","03",17,11267,1.51 (Unreliable)
,"October","10","3000 - 3499 grams","07","Obesity I 30.0-34.9","4","2nd month","02",10,7329,1.36 (Unreliable)
,"October","10","3000 - 3499 grams","07","Obesity I 30.0-34.9","4","3rd month","03",12,6722,1.79 (Unreliable)
,"October","10","3000 - 3499 grams","07","Obesity II 35.0-39.9","5","3rd month","03",11,3314,3.32 (Unreliable)
,"October","10","3500 - 3999 grams","08","Normal 18.5-24.9","2","2nd month","02",10,10588,0.94 (Unreliable)
,"October","10","3500 - 3999 grams","08","Overweight 25.0-29.9","3","2nd month","02",11,8779,1.25 (Unreliable)
,"October","10","3500 - 3999 grams","08","Obesity I 30.0-34.9","4","2nd month","02",10,5577,1.79 (Unreliable)
,"October","10","3500 - 3999 grams","08","Obesity II 35.0-39.9","5","2nd month","02",10,2792,3.58 (Unreliable)
,"October","10","3500 - 3999 grams","08","Obesity II 35.0-39.9","5","3rd month","03",10,2478,4.04 (Unreliable)
,"November","11","499 grams or less","01","Normal 18.5-24.9","2","No prenatal care","00",17,20,850.00 (Unreliable)
,"November","11","499 grams or less","01","Normal 18.5-24.9","2","1st month","01",10,12,833.33 (Unreliable)
,"November","11","499 grams or less","01","Normal 18.5-24.9","2","2nd month","02",28,37,756.76
,"November","11","499 grams or less","01","Normal 18.5-24.9","2","3rd month","03",22,30,733.33
,"November","11","499 grams or less","01","Normal 18.5-24.9","2","4th month","04",14,14,1000.00 (Unreliable)
,"November","11","499 grams or less","01","Overweight 25.0-29.9","3","2nd month","02",25,35,714.29
,"November","11","499 grams or less","01","Overweight 25.0-29.9","3","3rd month","03",27,29,931.03
,"November","11","499 grams or less","01","Obesity I 30.0-34.9","4","2nd month","02",17,21,809.52 (Unreliable)
,"November","11","499 grams or less","01","Obesity I 30.0-34.9","4","3rd month","03",16,24,666.67 (Unreliable)
,"November","11","499 grams or less","01","Obesity II 35.0-39.9","5","2nd month","02",11,12,916.67 (Unreliable)
,"November","11","499 grams or less","01","Extreme Obesity III > 39.9","6","2nd month","02",25,28,892.86
,"November","11","500 - 999 grams","02","Normal 18.5-24.9","2","No prenatal care","00",18,50,360.00 (Unreliable)
,"November","11","500 - 999 grams","02","Normal 18.5-24.9","2","2nd month","02",30,135,222.22
,"November","11","500 - 999 grams","02","Normal 18.5-24.9","2","3rd month","03",24,102,235.29
,"November","11","500 - 999 grams","02","Overweight 25.0-29.9","3","No prenatal care","00",10,27,370.37 (Unreliable)
,"November","11","500 - 999 grams","02","Overweight 25.0-29.9","3","2nd month","02",30,150,200.00
,"November","11","500 - 999 grams","02","Overweight 25.0-29.9","3","3rd month","03",16,104,153.85 (Unreliable)
,"November","11","500 - 999 grams","02","Obesity I 30.0-34.9","4","2nd month","02",26,98,265.31
,"November","11","500 - 999 grams","02","Obesity I 30.0-34.9","4","3rd month","03",22,105,209.52
,"November","11","500 - 999 grams","02","Extreme Obesity III > 39.9","6","2nd month","02",11,45,244.44 (Unreliable)
,"November","11","500 - 999 grams","02","Extreme Obesity III > 39.9","6","3rd month","03",22,56,392.86
,"November","11","500 - 999 grams","02","Unknown or Not Stated","9","No prenatal care","00",11,23,478.26 (Unreliable)
,"November","11","1500 - 1999 grams","04","Normal 18.5-24.9","2","2nd month","02",16,555,28.83 (Unreliable)
,"November","11","2000 - 2499 grams","05","Normal 18.5-24.9","2","2nd month","02",16,2096,7.63 (Unreliable)
,"November","11","2000 - 2499 grams","05","Normal 18.5-24.9","2","3rd month","03",12,1820,6.59 (Unreliable)
,"November","11","2000 - 2499 grams","05","Overweight 25.0-29.9","3","2nd month","02",18,1404,12.82 (Unreliable)
,"November","11","2000 - 2499 grams","05","Overweight 25.0-29.9","3","3rd month","03",10,1282,7.80 (Unreliable)
,"November","11","2000 - 2499 grams","05","Obesity I 30.0-34.9","4","2nd month","02",10,982,10.18 (Unreliable)
,"November","11","2500 - 2999 grams","06","Normal 18.5-24.9","2","2nd month","02",16,8227,1.94 (Unreliable)
,"November","11","2500 - 2999 grams","06","Normal 18.5-24.9","2","3rd month","03",20,7527,2.66
,"November","11","2500 - 2999 grams","06","Overweight 25.0-29.9","3","2nd month","02",22,5336,4.12
,"November","11","2500 - 2999 grams","06","Overweight 25.0-29.9","3","3rd month","03",13,4990,2.61 (Unreliable)
,"November","11","2500 - 2999 grams","06","Extreme Obesity III > 39.9","6","2nd month","02",11,1334,8.25 (Unreliable)
,"November","11","3000 - 3499 grams","07","Normal 18.5-24.9","2","2nd month","02",25,16891,1.48
,"November","11","3000 - 3499 grams","07","Normal 18.5-24.9","2","3rd month","03",27,15292,1.77
,"November","11","3000 - 3499 grams","07","Overweight 25.0-29.9","3","2nd month","02",17,11729,1.45 (Unreliable)
,"November","11","3000 - 3499 grams","07","Overweight 25.0-29.9","3","3rd month","03",14,10807,1.30 (Unreliable)
,"November","11","3000 - 3499 grams","07","Obesity I 30.0-34.9","4","2nd month","02",11,7177,1.53 (Unreliable)
,"November","11","3000 - 3499 grams","07","Obesity I 30.0-34.9","4","3rd month","03",10,6288,1.59 (Unreliable)
,"November","11","3500 - 3999 grams","08","Overweight 25.0-29.9","3","2nd month","02",11,8069,1.36 (Unreliable)
,"December","12","499 grams or less","01","Normal 18.5-24.9","2","No prenatal care","00",19,22,863.64 (Unreliable)
,"December","12","499 grams or less","01","Normal 18.5-24.9","2","2nd month","02",23,38,605.26
,"December","12","499 grams or less","01","Normal 18.5-24.9","2","3rd month","03",34,39,871.79
,"December","12","499 grams or less","01","Normal 18.5-24.9","2","4th month","04",13,16,812.50 (Unreliable)
,"December","12","499 grams or less","01","Overweight 25.0-29.9","3","No prenatal care","00",14,12,1166.67 (Unreliable)
,"December","12","499 grams or less","01","Overweight 25.0-29.9","3","2nd month","02",28,36,777.78
,"December","12","499 grams or less","01","Overweight 25.0-29.9","3","3rd month","03",21,28,750.00
,"December","12","499 grams or less","01","Obesity I 30.0-34.9","4","No prenatal care","00",10,11,909.09 (Unreliable)
,"December","12","499 grams or less","01","Obesity I 30.0-34.9","4","2nd month","02",33,39,846.15
,"December","12","499 grams or less","01","Obesity I 30.0-34.9","4","3rd month","03",20,23,869.57
,"December","12","499 grams or less","01","Obesity II 35.0-39.9","5","2nd month","02",19,24,791.67 (Unreliable)
,"December","12","499 grams or less","01","Obesity II 35.0-39.9","5","3rd month","03",10,16,625.00 (Unreliable)
,"December","12","499 grams or less","01","Extreme Obesity III > 39.9","6","2nd month","02",17,20,850.00 (Unreliable)
,"December","12","499 grams or less","01","Extreme Obesity III > 39.9","6","3rd month","03",14,13,1076.92 (Unreliable)
,"December","12","499 grams or less","01","Unknown or Not Stated","9","Unknown or Not Stated","99",12,12,1000.00 (Unreliable)
,"December","12","500 - 999 grams","02","Normal 18.5-24.9","2","2nd month","02",26,154,168.83
,"December","12","500 - 999 grams","02","Normal 18.5-24.9","2","3rd month","03",23,112,205.36
,"December","12","500 - 999 grams","02","Normal 18.5-24.9","2","4th month","04",13,50,260.00 (Unreliable)
,"December","12","500 - 999 grams","02","Overweight 25.0-29.9","3","No prenatal care","00",15,49,306.12 (Unreliable)
,"December","12","500 - 999 grams","02","Overweight 25.0-29.9","3","2nd month","02",27,133,203.01
,"December","12","500 - 999 grams","02","Overweight 25.0-29.9","3","3rd month","03",18,110,163.64 (Unreliable)
,"December","12","500 - 999 grams","02","Obesity I 30.0-34.9","4","2nd month","02",25,95,263.16
,"December","12","500 - 999 grams","02","Obesity I 30.0-34.9","4","3rd month","03",14,84,166.67 (Unreliable)
,"December","12","500 - 999 grams","02","Obesity II 35.0-39.9","5","2nd month","02",14,54,259.26 (Unreliable)
,"December","12","500 - 999 grams","02","Extreme Obesity III > 39.9","6","2nd month","02",10,52,192.31 (Unreliable)
,"December","12","1000 - 1499 grams","03","Normal 18.5-24.9","2","2nd month","02",13,243,53.50 (Unreliable)
,"December","12","1000 - 1499 grams","03","Normal 18.5-24.9","2","3rd month","03",11,168,65.48 (Unreliable)
,"December","12","1500 - 1999 grams","04","Normal 18.5-24.9","2","3rd month","03",11,474,23.21 (Unreliable)
,"December","12","2000 - 2499 grams","05","Normal 18.5-24.9","2","2nd month","02",20,2162,9.25
,"December","12","2000 - 2499 grams","05","Overweight 25.0-29.9","3","3rd month","03",13,1308,9.94 (Unreliable)
,"December","12","2500 - 2999 grams","06","Normal 18.5-24.9","2","2nd month","02",21,8405,2.50
,"December","12","2500 - 2999 grams","06","Normal 18.5-24.9","2","3rd month","03",17,7327,2.32 (Unreliable)
,"December","12","2500 - 2999 grams","06","Overweight 25.0-29.9","3","2nd month","02",21,5402,3.89
,"December","12","2500 - 2999 grams","06","Overweight 25.0-29.9","3","3rd month","03",15,4875,3.08 (Unreliable)
,"December","12","2500 - 2999 grams","06","Obesity I 30.0-34.9","4","2nd month","02",12,3382,3.55 (Unreliable)
,"December","12","3000 - 3499 grams","07","Normal 18.5-24.9","2","2nd month","02",18,16818,1.07 (Unreliable)
,"December","12","3000 - 3499 grams","07","Normal 18.5-24.9","2","3rd month","03",23,14704,1.56
,"December","12","3000 - 3499 grams","07","Normal 18.5-24.9","2","4th month","04",16,3801,4.21 (Unreliable)
,"December","12","3000 - 3499 grams","07","Overweight 25.0-29.9","3","2nd month","02",14,11768,1.19 (Unreliable)
,"December","12","3000 - 3499 grams","07","Overweight 25.0-29.9","3","3rd month","03",25,10432,2.40
,"December","12","3000 - 3499 grams","07","Obesity I 30.0-34.9","4","2nd month","02",15,7105,2.11 (Unreliable)
,"December","12","3000 - 3499 grams","07","Obesity I 30.0-34.9","4","3rd month","03",11,6109,1.80 (Unreliable)
,"December","12","3500 - 3999 grams","08","Obesity I 30.0-34.9","4","2nd month","02",13,5152,2.52 (Unreliable)
"---"
"Dataset: Linked Birth / Infant Death Records, 2017-2023 Expanded"
"Query Parameters:"
"Year of Death: 2023"
"Group By: Month; Infant Birth Weight 12; Mother's Pre-pregnancy BMI; Month Prenatal Care Began"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/lbd-expanded.html for more information."
"---"
"Query Date: Apr 5, 2026 8:13:42 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Linked Birth / Infant Deaths on CDC WONDER Online Database. Data are from the Linked Birth / Infant Deaths Records"
"2017-2023, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/lbd-current-expanded.html on Apr 5, 2026 8:13:42 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows."
"3. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. 'Suppressed' appears instead of death, birth, and rate values when the death value represents 1-9 sub-national events. This"
"is because the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/lbd-expanded.html#Assurance of Confidentiality."
"2. 'Unreliable' appears for rates when there are fewer than 20 deaths in the numerator. This is because the figure does not meet"
"the NCHS standard of reliability or precision. More information: http://wonder.cdc.gov/wonder/help/lbd-expanded.html#Unreliable."
"3. Infant deaths are weighted so numbers may not exactly add to totals due to rounding. More information:"
"http://wonder.cdc.gov/wonder/help/lbd-expanded.html#WeightFactors-Totals."
"4. Note that there may be slight differences in the number of infant deaths when comparing the Linked Birth / Death Records to"
"the other vital statistics. More information: http://wonder.cdc.gov/wonder/help/lbd-expanded.html#Weight Factors."